jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid,scisigpix,offset,multiply,mag,mag_unc,time,band
2458276.7084954,b'r',2.116,6.02109231184069,26.275,2.04501e-05,1.0,819.0,2.0,2.0,2.0,353.834,-7.27307,-0.458829,265.277,1.229,0.0,0.0,5.721254419398307,-0.15778344869613647,ztf_20180607208461_000819_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180607208461_000819_zr_c02_o_q2_diffimgpsf.fits',10.764113927709893,18.011259129135546,3.326429210585782e-10,5.566011182411266e-10,2458160.812152778,2458219.771689815,8190222.0,6.29358,6.6308649871892165,0.9098763541375279,0.0,0.0,276.7084953999147,p48r
2458276.7252315,b'g',2.004,6.07409220388156,26.325,2.08251e-05,1.0,819.0,2.0,2.0,1.0,354.089,-7.21043,-0.457187,265.088,1.267,0.0,0.0,4.774907238674164,-0.21103942394256592,ztf_20180607225185_000819_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180607225185_000819_zg_c02_o_q2_diffimgpsf.fits',-26.282053312508765,17.540446596991785,-7.756383823161383e-10,5.176552785826956e-10,2458202.760613426,2458248.6966422107,8190221.0,5.05053,-999.0,-999.0,0.0,0.0,276.7252314998768,p48g
2458279.6776273,b'r',1.958,5.91447909759753,26.275,1.63533e-05,1.0,819.0,2.0,2.0,2.0,29.6648,6.0899,-0.174222,229.341,1.188,0.0,0.0,6.944848387742043,0.07589316368103027,ztf_20180610177581_000819_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180610177581_000819_zr_c02_o_q2_diffimgpsf.fits',16.43259397118923,23.470611039800477,5.078157009351647e-10,7.253112209863143e-10,2458160.812152778,2458219.771689815,8190222.0,7.17869,6.6308649871892165,0.9098763541375279,0.0,0.0,279.6776272999123,p48r
2458279.6933565,b'g',2.212,6.06308402736908,26.325,2.15864e-05,1.0,819.0,2.0,2.0,1.0,29.9461,6.16159,-0.172881,229.138,1.215,0.0,0.0,5.616053414058685,-0.03763222694396973,ztf_20180610193345_000819_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180610193345_000819_zg_c02_o_q2_diffimgpsf.fits',-34.108460930371734,21.99920128806315,-1.0066120460510314e-09,6.492424585146913e-10,2458202.760613426,2458248.6966422107,8190221.0,5.01176,-999.0,-999.0,0.0,0.0,279.6933565000072,p48g
2458282.706875,b'r',1.569,5.94400972274279,26.275,2.26084e-05,1.0,819.0,2.0,2.0,2.0,72.2137,17.6215,-0.00579694,188.733,1.262,0.0,0.0,6.265456317138669,-0.4681892395019531,ztf_20180613206829_000819_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180613206829_000819_zr_c02_o_q2_diffimgpsf.fits',13.12908831677601,19.210025475269713,4.0572761658400463e-10,5.936465399070752e-10,2458160.812152778,2458219.771689815,8190222.0,6.67878,6.6308649871892165,0.9098763541375279,0.0,0.0,282.706875000149,p48r
2458282.7623727,b'g',2.058,5.63479546050718,26.325,2.46967e-05,1.0,819.0,2.0,2.0,1.0,73.337,17.724,-0.00482213,187.964,1.451,0.0,0.0,5.4275156408548355,0.14198148250579834,ztf_20180613262361_000819_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180613262361_000819_zg_c02_o_q2_diffimgpsf.fits',22.63683827450764,21.396795902302816,6.680604597828183e-10,6.314642150625814e-10,2458202.760613426,2458248.6966422107,8190221.0,5.78826,-999.0,-999.0,0.0,0.0,282.76237270003185,p48g
2458288.7198264,b'g',2.185,6.2,26.296816,3.64195e-05,1.0,819.0,2.0,2.0,1.0,163.948,9.20996,0.366177,105.524,1.348,0.0,0.0,7.00422463030815,-0.24209094047546387,ztf_20180619219792_000819_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180619219792_000819_zg_c02_o_q2_diffimgpsf.fits',99.94843842862227,28.63196619064383,3.0272592381820097e-09,8.672109951377661e-10,2458202.760613426,2458248.6966422107,8190221.0,6.5308,-999.0,-999.0,21.297375967024497,0.31102799611930315,288.71982639981434,p48g
2458288.7442824,b'r',1.921,6.2,26.196885,2.10533e-05,1.0,819.0,2.0,2.0,2.0,164.237,9.08391,0.368885,105.202,1.444,0.0,0.0,7.32208757882118,0.751289963722229,ztf_20180619244271_000819_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180619244271_000819_zr_c02_o_q2_diffimgpsf.fits',95.77806476452407,23.9252453003903,3.1806219934776266e-09,7.945155481908002e-10,2458160.812152778,2458219.771689815,8190222.0,7.95657,6.6308649871892165,0.9098763541375279,21.2437198557617,0.27121559798145567,288.7442823997699,p48r
2458290.6958218,b'g',2.488,6.2,26.206266,4.11398e-05,2.0,819.0,2.0,2.0,1.0,189.766,0.0870803,0.583012,80.4433,1.29,0.0,0.0,8.214994922637935,0.07769119739532471,ztf_20180621195822_000819_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180621195822_000819_zg_c02_o_q2_diffimgpsf.fits',299.8682803846857,38.24689398112571,9.872431502536827e-09,1.2591857237829627e-09,2458202.760613426,2458248.6966422107,8190221.0,8.41184,-999.0,-999.0,20.013939677068816,0.13848093334194622,290.6958217998035,p48g
2458290.7296065,b'g',1.761,6.2,26.21674,2.97935e-05,2.0,819.0,2.0,2.0,1.0,190.057,-0.071451,0.586561,80.0307,1.405,0.0,0.0,8.663693587827682,0.04052126407623291,ztf_20180621229410_000819_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180621229410_000819_zg_c02_o_q2_diffimgpsf.fits',283.65779711158183,31.6150876119502,9.249084045154058e-09,1.0308569489642873e-09,2458202.760613426,2458248.6966422107,8190221.0,8.38227,-999.0,-999.0,20.08475318540425,0.12101076235797005,290.72960649989545,p48g
2458290.7543866,b'r',1.79,6.2,26.149725,2.80926e-05,2.0,819.0,2.0,2.0,2.0,190.285,-0.187241,0.589144,79.7299,1.517,0.0,0.0,8.763020860671997,0.2562382221221924,ztf_20180621254375_000819_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180621254375_000819_zr_c02_o_q2_diffimgpsf.fits',352.1510324847629,29.608802538408124,1.221346707720022e-08,1.0269064087917253e-09,2458160.812152778,2458219.771689815,8190222.0,8.58615,6.6308649871892165,0.9098763541375279,19.782902584863933,0.09128853092048583,290.75438660010695,p48r
2458291.7485532,b'r',1.872,6.2,26.181421,1.97483e-05,1.0,819.0,2.0,2.0,2.0,202.592,-4.76698,0.689841,67.6861,1.502,0.0,0.0,9.234266746139525,-0.834132969379425,ztf_20180622248542_000819_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180622248542_000819_zr_c02_o_q2_diffimgpsf.fits',454.0786533630043,31.374751787705154,1.5295465043470682e-08,1.056846500688091e-09,2458160.812152778,2458219.771689815,8190222.0,9.18134,6.6308649871892165,0.9098763541375279,19.538593285462092,0.07501939335664876,291.7485532001592,p48r
2458293.6799769,b'g',2.078,6.2,26.306089,3.47125e-05,2.0,819.0,2.0,2.0,1.0,226.545,-12.781,0.85275,45.13,1.269,0.0,0.0,10.082900579261779,0.15138542652130127,ztf_20180624179803_000819_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180624179803_000819_zg_c02_o_q2_diffimgpsf.fits',908.5526557751587,42.964626690512546,2.728440592855443e-08,1.2902549738379582e-09,2458202.760613426,2458248.6966422107,8190221.0,10.8771,-999.0,-999.0,18.91021374450046,0.05134348690359574,293.67997690010816,p48g
2458293.6929282,b'g',2.682,6.2,26.290088,5.06505e-05,2.0,819.0,2.0,2.0,1.0,226.639,-12.8295,0.853657,44.9832,1.305,0.0,0.0,10.53254302463531,0.4129505157470703,ztf_20180624192789_000819_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180624192789_000819_zg_c02_o_q2_diffimgpsf.fits',1052.043767272636,54.75962961182347,3.2062590461211493e-08,1.6688814076378394e-09,2458202.760613426,2458248.6966422107,8190221.0,10.2616,-999.0,-999.0,18.735003480565958,0.05651336774900274,293.69292820012197,p48g
2458293.7115856,b'g',2.693,6.2,26.282009,4.60049e-05,2.0,819.0,2.0,2.0,1.0,226.775,-12.8974,0.854949,44.7733,1.367,0.0,0.0,10.32114121761322,-0.6933579444885254,ztf_20180624211458_000819_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180624211458_000819_zg_c02_o_q2_diffimgpsf.fits',1030.974865252741,53.98839627203631,3.1655157412401993e-08,1.6576657680944632e-09,2458202.760613426,2458248.6966422107,8190221.0,10.4385,-999.0,-999.0,18.748888806274962,0.05685606665482015,293.7115855999291,p48g
2458293.7436574,b'r',2.107,6.2,26.202402,2.05134e-05,2.0,819.0,2.0,2.0,2.0,227.011,-13.0082,0.857177,44.4096,1.504,0.0,0.0,9.967832011604308,0.0734323263168335,ztf_20180624243611_000819_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180624243611_000819_zr_c02_o_q2_diffimgpsf.fits',779.2543887473142,38.62515014454595,2.5746515286118647e-08,1.2761725891182957e-09,2458160.812152778,2458219.771689815,8190222.0,9.73209,6.6308649871892165,0.9098763541375279,18.973203857762957,0.05381647839048337,293.74365739990026,p48r
2458293.7688889,b'r',3.424,6.2,26.21173,6.55548e-05,2.0,819.0,2.0,2.0,2.0,227.203,-13.0902,0.858967,44.1159,1.648,0.0,0.0,9.466989324951166,-0.13224077224731445,ztf_20180624268831_000819_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180624268831_000819_zr_c02_o_q2_diffimgpsf.fits',717.1909845164936,47.171048352777056,2.3493234929714013e-08,1.545196484206208e-09,2458160.812152778,2458219.771689815,8190222.0,10.1142,6.6308649871892165,0.9098763541375279,19.072642945987642,0.0714110156130838,293.7688889000565,p48r
2458293.791875,b'r',2.542,6.2,26.188099,2.70491e-05,2.0,819.0,2.0,2.0,2.0,227.385,-13.1612,0.860577,43.8501,1.814,0.0,0.0,10.439850524568557,0.2639063000679016,ztf_20180624291817_000819_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180624291817_000819_zr_c02_o_q2_diffimgpsf.fits',872.503699168191,43.55185443092996,2.9209739034578894e-08,1.4580321688706901e-09,2458160.812152778,2458219.771689815,8190222.0,10.5838,6.6308649871892165,0.9098763541375279,18.836180807698668,0.05419556510145142,293.79187500011176,p48r
2458294.7078009,b'g',2.112,6.2,26.291292,4.82484e-05,1.0,819.0,2.0,2.0,1.0,239.141,-16.2292,0.917083,33.4709,1.363,0.0,0.0,10.79875725746155,-0.29643142223358154,ztf_20180625207801_000819_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180625207801_000819_zg_c02_o_q2_diffimgpsf.fits',1398.7736010843896,45.360276916041016,4.258244825202069e-08,1.3808907006519637e-09,2458202.760613426,2458248.6966422107,8190221.0,11.0731,-999.0,-999.0,18.42692343170546,0.035208943826768126,294.70780090009794,p48g
2458294.7367361,b'r',1.632,6.2,26.220254,2.82478e-05,1.0,819.0,2.0,2.0,2.0,239.356,-16.3178,0.918658,33.1421,1.484,0.0,0.0,10.210255133342741,-0.005337238311767578,ztf_20180625236725_000819_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180625236725_000819_zr_c02_o_q2_diffimgpsf.fits',1081.816041025519,34.714360388215454,3.516023886300517e-08,1.1282561527279213e-09,2458160.812152778,2458219.771689815,8190222.0,10.5144,6.6308649871892165,0.9098763541375279,18.63487045796234,0.03484016584843875,294.73673610016704,p48r
2458297.7559722,b'r',1.891,6.2,26.17292,3.43725e-05,1.0,819.0,2.0,2.0,2.0,277.858,-21.49,-0.999989,359.626,1.635,0.0,0.0,15.000115084362031,-0.3736499547958374,ztf_20180628255937_000819_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180628255937_000819_zr_c02_o_q2_diffimgpsf.fits',1437.8140293332237,50.555536919915674,4.881291200355688e-08,1.7163304327844958e-09,2458160.812152778,2458219.771689815,8190222.0,14.6529,6.6308649871892165,0.9098763541375279,18.278663207792086,0.038176007406944476,297.7559722000733,p48r
2458299.6765046,b'g',2.456,6.2,26.27835,5.06572e-05,2.0,819.0,2.0,2.0,1.0,302.629,-20.2151,-0.965712,338.658,1.305,0.0,0.0,9.050694669151307,-0.3157227039337158,ztf_20180630176389_000819_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180630176389_000819_zg_c02_o_q2_diffimgpsf.fits',2113.3746850602533,43.34451054074293,6.51083217423986e-08,1.335350357078027e-09,2458202.760613426,2458248.6966422107,8190221.0,9.13034,-999.0,-999.0,17.96590874763372,0.022268093999605797,299.6765045998618,p48g
2458299.7086227,b'g',2.197,6.2,26.242743,4.17159e-05,2.0,819.0,2.0,2.0,1.0,302.982,-20.2169,-0.96457,338.301,1.419,0.0,0.0,10.131474418973923,-0.8121092915534973,ztf_20180630208576_000819_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180630208576_000819_zg_c02_o_q2_diffimgpsf.fits',2032.4751850121074,45.203840708221605,6.4703541468328e-08,1.439059609578612e-09,2458202.760613426,2458248.6966422107,8190221.0,10.3732,-999.0,-999.0,17.972679870273357,0.024147659980704495,299.7086227000691,p48g
2458300.6841667,b'r',2.459,6.2,26.172381,2.18825e-05,1.0,819.0,2.0,2.0,2.0,315.086,-18.3207,-0.922655,327.705,1.338,0.0,0.0,6.801218798828124,0.05135548114776611,ztf_20180701184155_000819_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180701184155_000819_zr_c02_o_q2_diffimgpsf.fits',1764.049930980663,31.67934828470966,5.991816072055053e-08,1.076029336882977e-09,2458160.812152778,2458219.771689815,8190222.0,7.17305,6.6308649871892165,0.9098763541375279,18.05610381609088,0.01949799517185507,300.68416670011356,p48r
2458303.7025231,b'g',2.153,6.2,26.192341,2.40303e-05,1.0,819.0,2.0,2.0,1.0,350.694,-8.64625,-0.708323,294.623,1.439,0.0,0.0,4.607998847961426,-0.07547980546951294,ztf_20180704202512_000819_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180704202512_000819_zg_c02_o_q2_diffimgpsf.fits',2230.5701062545468,35.303171582145524,7.438399121680647e-08,1.1772745295857921e-09,2458202.760613426,2458248.6966422107,8190221.0,5.26613,-999.0,-999.0,17.821301306105198,0.017183933784694374,303.70252310018986,p48g
2458306.6761806,b'r',2.092,6.2,25.997703,2.89922e-05,1.0,819.0,2.0,2.0,2.0,25.4685,4.26953,-0.413856,260.079,1.366,0.0,0.0,8.241461246490477,0.0772472620010376,ztf_20180707176181_000819_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180707176181_000819_zr_c02_o_q2_diffimgpsf.fits',1613.4922400253488,33.005050581561,6.437032191536156e-08,1.316738617173539e-09,2458160.812152778,2458219.771689815,8190222.0,8.62764,6.6308649871892165,0.9098763541375279,17.97828579740767,0.022209470860627988,306.6761806001887,p48r
2458312.6999884,b'r',1.711,6.2,25.999638,2.4966e-05,1.0,819.0,2.0,2.0,2.0,112.769,19.6747,8.77728e-05,178.926,1.547,0.0,0.0,7.189880916976927,0.058967530727386475,ztf_20180713199954_000819_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180713199954_000819_zr_c02_o_q2_diffimgpsf.fits',1428.1864057865844,30.041232950476925,5.687608504340201e-08,1.1963625575196065e-09,2458160.812152778,2458219.771689815,8190222.0,7.51636,6.6308649871892165,0.9098763541375279,18.112675762700057,0.02283796681372941,312.69998840009794,p48r
2458319.6820949,b'g',2.835,6.2,26.123171,3.77379e-05,2.0,819.0,2.0,2.0,1.0,211.091,-7.74563,0.54009,85.4011,1.554,0.0,0.0,9.240606914138793,0.29450732469558716,ztf_20180720182049_000819_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180720182049_000819_zg_c02_o_q2_diffimgpsf.fits',915.7054797706751,50.48515878932187,3.254523509702486e-08,1.7943014697720516e-09,2458202.760613426,2458248.6966422107,8190221.0,8.71551,-999.0,-999.0,18.718781467243957,0.05985939453730757,319.6820948999375,p48g
2458319.7040394,b'g',2.781,6.2,26.140457,4.84481e-05,2.0,819.0,2.0,2.0,1.0,211.277,-7.83104,0.542401,85.1354,1.69,0.0,0.0,8.670856937694548,-0.4583495855331421,ztf_20180720203993_000819_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180720203993_000819_zg_c02_o_q2_diffimgpsf.fits',1013.621604196241,46.89002871575275,3.5456271027483506e-08,1.6402041286527686e-09,2458202.760613426,2458248.6966422107,8190221.0,8.59774,-999.0,-999.0,18.625767353827662,0.05022606591346516,319.7040393999778,p48g
2458319.71375,b'r',3.804,6.2,26.115514,4.76246e-05,1.0,819.0,2.0,2.0,2.0,211.363,-7.86824,0.543374,85.0234,1.76,0.0,0.0,10.004950605010979,-0.5951874256134033,ztf_20180720213692_000819_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180720213692_000819_zr_c02_o_q2_diffimgpsf.fits',1156.2582800971597,65.35461599266957,4.1385599990183565e-08,2.3392185431196433e-09,2458160.812152778,2458219.771689815,8190222.0,9.60077,6.6308649871892165,0.9098763541375279,18.45787686052389,0.0613685500200307,319.71375000011176,p48r
2458319.7147454,b'r',2.792,6.2,26.108571,2.99772e-05,2.0,819.0,2.0,2.0,2.0,211.372,-7.87203,0.543496,85.0095,1.768,0.0,0.0,9.679269671440125,-0.12307381629943848,ztf_20180720214699_000819_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180720214699_000819_zr_c02_o_q2_diffimgpsf.fits',1064.0398304148616,48.77832116986597,3.8329176211471816e-08,1.7571082896266903e-09,2458160.812152778,2458219.771689815,8190222.0,9.59447,6.6308649871892165,0.9098763541375279,18.541176286762152,0.04977294777228592,319.7147454000078,p48r
2458320.671956,b'g',2.13,6.2,26.16905,5.73476e-05,2.0,819.0,2.0,2.0,1.0,223.379,-11.7959,0.639982,73.7419,1.514,0.0,0.0,10.396293610334396,-0.2148476243019104,ztf_20180721171910_000819_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180721171910_000819_zg_c02_o_q2_diffimgpsf.fits',871.0245769154728,45.49365364162742,2.9676344862114833e-08,1.5499976471870058e-09,2458202.760613426,2458248.6966422107,8190221.0,11.3088,-999.0,-999.0,18.818973976808664,0.05670808081857967,320.6719559999183,p48g
2458320.6929514,b'g',1.845,6.2,26.177962,3.89774e-05,2.0,819.0,2.0,2.0,1.0,223.542,-11.8673,0.642032,73.4971,1.635,0.0,0.0,7.794581077313422,-0.5741258263587952,ztf_20180721192708_000819_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180721192708_000819_zg_c02_o_q2_diffimgpsf.fits',996.7036254325374,31.78072684419783,3.368070999903744e-08,1.0739382254680806e-09,2458202.760613426,2458248.6966422107,8190221.0,9.24949,-999.0,-999.0,18.681546905058788,0.034619626875375176,320.69295139983296,p48g
2458333.6805556,b'g',2.124,6.2,26.075287,3.30509e-05,1.0,819.0,2.0,2.0,1.0,22.5543,3.06631,-0.665253,289.299,1.801,0.0,0.0,5.8905297424316405,0.06784367561340332,ztf_20180803180556_000819_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180803180556_000819_zg_c02_o_q2_diffimgpsf.fits',317.08829741271165,24.735540904470724,1.177783359633356e-08,9.187696589462754e-10,2458202.760613426,2458248.6966422107,8190221.0,5.9885,-999.0,-999.0,19.822336464806675,0.08469651692665997,333.6805556002073,p48g
2458336.6809838,b'g',1.91,6.2,26.133221,2.6316e-05,1.0,819.0,2.0,2.0,1.0,60.7105,15.1296,-0.34857,252.371,1.873,0.0,0.0,5.8176052928209305,-0.3702913522720337,ztf_20180806180972_000819_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20180806180972_000819_zg_c02_o_q2_diffimgpsf.fits',255.68342122995534,23.680999570916015,9.003558046700952e-09,8.338955279773537e-10,2458202.760613426,2458248.6966422107,8190221.0,6.46747,-999.0,-999.0,20.113964577878743,0.10055919682137865,336.68098379997537,p48g
2458422.9875579,b'g',3.233,6.2,26.14233,5.57645e-05,2.0,819.0,2.0,2.0,1.0,128.161,19.0725,-0.524889,272.853,1.851,0.0,0.0,8.6133463599205,1.3604001998901367,ztf_20181031487535_000819_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20181031487535_000819_zg_c02_o_q2_diffimgpsf.fits',32.15358735839639,47.7745087311974,1.122787150926516e-09,1.6682618949905578e-09,2458202.760613426,2458248.6966422107,8190221.0,8.81722,-999.0,-999.0,0.0,0.0,422.9875579001382,p48g
2458422.9884722,b'g',3.427,6.2,26.148453,5.73893e-05,3.0,819.0,2.0,2.0,1.0,128.171,19.0712,-0.524767,272.839,1.844,0.0,0.0,9.259417885446549,0.3171725273132324,ztf_20181031488472_000819_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20181031488472_000819_zg_c02_o_q2_diffimgpsf.fits',39.49612034627846,53.7911984680795,1.3714287119553958e-09,1.86779849358357e-09,2458202.760613426,2458248.6966422107,8190221.0,8.79104,-999.0,-999.0,0.0,0.0,422.9884721999988,p48g
2458423.019456,b'r',2.263,6.2,26.147248,2.21511e-05,2.0,819.0,2.0,2.0,2.0,128.479,19.0222,-0.52117,272.427,1.616,0.0,0.0,8.284858404397962,0.5646569132804871,ztf_20181031519444_000819_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20181031519444_000819_zr_c02_o_q2_diffimgpsf.fits',9.1404913935024,31.919109898072335,3.1773886807724024e-10,1.1095619931800516e-09,2458160.812152778,2458219.771689815,8190222.0,8.58277,6.6308649871892165,0.9098763541375279,0.0,0.0,423.0194560000673,p48r
2458423.0363542,b'r',2.652,6.2,26.174345,2.18854e-05,2.0,819.0,2.0,2.0,2.0,128.642,18.9911,-0.519219,272.203,1.519,0.0,0.0,9.15526857972145,0.09186869859695435,ztf_20181031536331_000819_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20181031536331_000819_zr_c02_o_q2_diffimgpsf.fits',67.70750220173782,38.59775005303565,2.295613618704076e-09,1.3086514469913736e-09,2458160.812152778,2458219.771689815,8190222.0,8.60412,6.6308649871892165,0.9098763541375279,0.0,0.0,423.0363541999832,p48r
2458423.038287,b'r',2.202,6.2,26.163746,2.28617e-05,3.0,819.0,2.0,2.0,2.0,128.661,18.9873,-0.519036,272.182,1.508,0.0,0.0,8.750899585437772,0.09224027395248413,ztf_20181031538287_000819_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20181031538287_000819_zr_c02_o_q2_diffimgpsf.fits',-9.490847714073258,32.17213737410833,-3.2494256546185016e-10,1.1014924240575404e-09,2458160.812152778,2458219.771689815,8190222.0,8.96616,6.6308649871892165,0.9098763541375279,0.0,0.0,423.0382869997993,p48r
2458423.0425694,b'r',3.056,6.2,26.181095,2.74497e-05,2.0,819.0,2.0,2.0,2.0,128.702,18.9788,-0.518548,272.126,1.487,0.0,0.0,9.453597663879396,0.7153143882751465,ztf_20181031542419_000819_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20181031542419_000819_zr_c02_o_q2_diffimgpsf.fits',-27.112614373140932,44.264171536107234,-9.135522615651703e-10,1.4914693751565148e-09,2458160.812152778,2458219.771689815,8190222.0,9.56972,6.6308649871892165,0.9098763541375279,0.0,0.0,423.0425693998113,p48r
2458423.9887731,b'g',3.725,6.2,26.133982,7.18363e-05,2.0,819.0,2.0,2.0,1.0,142.956,16.2265,-0.410276,259.662,1.818,0.0,0.0,7.790542146754264,-1.043386459350586,ztf_20181101488762_000819_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20181101488762_000819_zg_c02_o_q2_diffimgpsf.fits',153.51264708674609,49.61544699422009,5.401959955900125e-09,1.7459191054237668e-09,2458202.760613426,2458248.6966422107,8190221.0,7.48566,-999.0,-999.0,20.668621598777595,0.35091107650050046,423.9887731000781,p48g
2458423.9896875,b'g',3.523,6.2,26.121198,6.15896e-05,1.0,819.0,2.0,2.0,1.0,142.965,16.2243,-0.410156,259.648,1.81,0.0,0.0,8.168421568441385,-0.3304276466369629,ztf_20181101489676_000819_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20181101489676_000819_zg_c02_o_q2_diffimgpsf.fits',-26.534036121087468,49.763819109161545,-9.447656963275453e-10,1.771880803189463e-09,2458202.760613426,2458248.6966422107,8190221.0,7.41411,-999.0,-999.0,0.0,0.0,423.9896875000559,p48g
2458423.9919907,b'g',3.778,6.2,26.192438,7.04724e-05,3.0,819.0,2.0,2.0,1.0,142.989,16.2188,-0.409916,259.62,1.791,0.0,0.0,8.126138780975342,0.5717153549194336,ztf_20181101491991_000819_zg_c02_o_q2_scimrefdiffimg.fits,b'ztf_20181101491991_000819_zg_c02_o_q2_diffimgpsf.fits',16.34883583152872,50.33696791272254,5.451444975188768e-10,1.678463308842012e-09,2458202.760613426,2458248.6966422107,8190221.0,7.29621,-999.0,-999.0,0.0,0.0,423.99199069989845,p48g
2458424.010544,b'r',3.112,6.2,26.179736,3.38929e-05,2.0,819.0,2.0,2.0,2.0,143.18,16.1729,-0.407815,259.376,1.656,0.0,0.0,8.285099374771118,-0.10463166236877441,ztf_20181101510544_000819_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20181101510544_000819_zr_c02_o_q2_diffimgpsf.fits',-7.173906095459319,41.29892870855256,-2.420255900416514e-10,1.3932991951552037e-09,2458160.812152778,2458219.771689815,8190222.0,7.91321,6.6308649871892165,0.9098763541375279,0.0,0.0,424.0105440001935,p48r
2458424.0348958,b'r',2.732,6.2,26.209359,2.46959e-05,1.0,819.0,2.0,2.0,2.0,143.419,16.1082,-0.405057,259.054,1.512,0.0,0.0,8.381849080324173,0.16108590364456177,ztf_20181101534884_000819_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20181101534884_000819_zr_c02_o_q2_diffimgpsf.fits',103.29252263839071,36.97575468137812,3.3909804348780142e-09,1.2138735480540528e-09,2458160.812152778,2458219.771689815,8190222.0,7.66469,6.6308649871892165,0.9098763541375279,0.0,0.0,424.0348958000541,p48r
2458424.0377431,b'r',2.667,6.2,26.193891,1.97393e-05,3.0,819.0,2.0,2.0,2.0,143.447,16.1003,-0.404758,259.019,1.497,0.0,0.0,9.01115368499756,-0.15303516387939453,ztf_20181101537731_000819_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20181101537731_000819_zr_c02_o_q2_diffimgpsf.fits',24.13435352122252,38.70140867115553,8.036727999365648e-10,1.2887550289211255e-09,2458160.812152778,2458219.771689815,8190222.0,7.69647,6.6308649871892165,0.9098763541375279,0.0,0.0,424.03774309996516,p48r
2458424.0386574,b'r',2.568,6.2,26.194697,2.35567e-05,2.0,819.0,2.0,2.0,2.0,143.456,16.0978,-0.404638,259.005,1.493,0.0,0.0,8.464534749364852,-0.1970781683921814,ztf_20181101538646_000819_zr_c02_o_q2_scimrefdiffimg.fits,b'ztf_20181101538646_000819_zr_c02_o_q2_diffimgpsf.fits',67.63863418975946,35.46271336400976,2.2506918038811115e-09,1.1800303086573486e-09,2458160.812152778,2458219.771689815,8190222.0,7.78321,6.6308649871892165,0.9098763541375279,0.0,0.0,424.03865739982575,p48r
